Datum,flow,TRP,Conduct,NO3N,turb,Chlorophyll,O2,pH,Temp
2009-01-11 00:00:00,0.381,,,,5.9,3.6,62.0,7.68,12.4
2009-01-11 01:00:00,0.376,,533.0,,6.1,3.5,64.0,7.71,12.4
2009-01-11 02:00:00,0.366,,532.0,,6.0,3.7,64.0,7.7,12.4
2009-01-11 03:00:00,0.357,,531.0,,5.9,3.7,65.0,7.73,12.4
2009-01-11 04:00:00,0.349,,534.0,,5.9,3.4,65.0,7.71,12.4
2009-01-11 05:00:00,0.342,,538.0,,5.8,3.6,64.0,7.71,12.4
2009-01-11 06:00:00,0.335,,540.0,,5.8,3.0,64.0,7.73,12.4
2009-01-11 07:00:00,0.311,,538.0,,5.8,3.5,63.0,7.7,12.3
2009-01-11 08:00:00,0.313,,532.0,,5.2,3.3,64.0,7.7,12.4
2009-01-11 09:00:00,0.32,,523.0,,5.3,3.8,64.0,7.73,12.5
2009-01-11 10:00:00,0.325,,514.0,,5.3,3.9,65.0,7.71,12.6
2009-01-11 11:00:00,0.321,,506.0,,5.2,4.3,65.0,7.7,12.9
2009-01-11 12:00:00,0.33,,498.0,,5.2,4.1,65.0,7.69,12.9
2009-01-11 13:00:00,0.338,,490.0,,5.1,4.1,64.0,7.67,12.9
2009-01-11 14:00:00,0.358,,480.0,,5.2,4.9,64.0,7.68,13.0
2009-01-11 15:00:00,0.423,,471.0,,5.8,4.9,64.0,7.65,12.9
2009-01-11 16:00:00,0.598,,470.0,,6.1,4.2,63.0,7.64,12.8
2009-01-11 17:00:00,0.768,,475.0,,7.9,4.8,61.0,7.62,12.6
2009-01-11 18:00:00,0.93,,476.0,,9.7,4.5,60.0,7.6,12.5
2009-01-11 19:00:00,1.061,,471.0,,12.0,5.0,61.0,7.58,12.4
2009-01-11 20:00:00,1.168,,455.0,,15.9,4.6,63.0,7.63,12.4
2009-01-11 21:00:00,1.266,,457.0,,19.0,5.1,64.0,7.62,12.3
2009-01-11 22:00:00,1.341,,460.0,,22.3,5.3,64.0,7.63,12.1
2009-01-11 23:00:00,1.356,,450.0,,23.3,5.7,65.0,7.65,12.0
2009-02-11 00:00:00,1.317,,439.0,,22.8,5.4,67.0,7.64,11.9
2009-02-11 01:00:00,1.254,,413.0,,22.3,5.3,67.0,7.62,11.8
2009-02-11 02:00:00,1.171,,404.0,,21.3,5.3,67.0,7.59,11.7
2009-02-11 03:00:00,1.084,,400.0,,19.6,5.4,68.0,7.59,11.5
2009-02-11 04:00:00,1.003,,383.0,,19.8,5.1,68.0,7.6,11.4
2009-02-11 05:00:00,0.931,,369.0,,16.0,5.2,68.0,7.57,11.2
2009-02-11 06:00:00,0.869,,367.0,,15.3,6.0,69.0,7.58,11.1
2009-02-11 07:00:00,0.806,,369.0,,14.7,5.3,69.0,7.55,10.8
2009-02-11 08:00:00,0.764,,371.0,,14.1,5.7,82.0,7.56,10.7
2009-02-11 09:00:00,0.723,,375.0,,13.6,5.9,70.0,7.59,10.8
2009-02-11 10:00:00,0.687,,380.0,,12.3,6.3,70.0,7.58,10.9
2009-02-11 11:00:00,0.654,,383.0,,11.4,5.9,71.0,7.58,11.2
2009-02-11 12:00:00,0.625,,386.0,,10.5,5.6,71.0,7.59,11.4
2009-02-11 13:00:00,0.595,,385.0,,10.3,5.3,72.0,7.59,11.3
2009-02-11 14:00:00,0.57,,383.0,,9.5,5.0,72.0,7.58,11.2
2009-02-11 15:00:00,0.545,,380.0,,9.4,5.8,72.0,7.6,11.1
2009-02-11 16:00:00,0.524,,378.0,,9.2,5.4,73.0,7.6,10.9
2009-02-11 17:00:00,0.505,,376.0,,9.2,5.4,72.0,7.58,10.8
2009-02-11 18:00:00,0.494,,375.0,,9.2,5.7,72.0,7.56,10.7
2009-02-11 19:00:00,0.483,,374.0,,9.5,6.0,72.0,7.56,10.5
2009-02-11 20:00:00,0.474,,374.0,,9.5,5.6,72.0,7.57,10.5
2009-02-11 21:00:00,0.462,,375.0,,9.3,5.4,72.0,7.59,10.5
2009-02-11 22:00:00,0.45,,376.0,,9.2,5.6,72.0,7.59,10.5
2009-02-11 23:00:00,0.439,,377.0,,9.2,5.3,72.0,7.59,10.5
2009-03-11 00:00:00,0.43,,379.0,,9.0,5.5,71.0,7.61,10.5
2009-03-11 01:00:00,0.42,,380.0,,8.9,5.6,72.0,7.6,10.5
2009-03-11 02:00:00,0.412,,,,,,,,
2009-03-11 03:00:00,0.404,,,,,,,,
2009-03-11 04:00:00,0.396,,,,,,,,
2009-03-11 05:00:00,0.392,,,,,,,,
2009-03-11 06:00:00,0.389,,,,,,,,
2009-03-11 07:00:00,0.385,,,,,,,,
2009-03-11 08:00:00,0.386,,,,,,,,
2009-03-11 09:00:00,0.384,,,,,,,,
2009-03-11 10:00:00,0.382,,,,,,,,
2009-03-11 11:00:00,0.385,,,,,,,,
2009-03-11 12:00:00,0.391,,404.0,,7.3,5.6,68.0,7.62,10.9
2009-03-11 13:00:00,0.39,,408.0,,7.0,5.7,71.0,7.62,11.1
2009-03-11 14:00:00,0.394,,411.0,,7.0,5.6,71.0,7.61,11.2
2009-03-11 15:00:00,0.402,,415.0,,6.9,5.4,71.0,7.62,11.1
2009-03-11 16:00:00,0.414,,418.0,,6.7,5.2,72.0,7.64,11.1
2009-03-11 17:00:00,0.436,,421.0,,6.6,5.6,71.0,7.62,10.8
2009-03-11 18:00:00,0.469,,424.0,,6.6,5.7,71.0,7.62,10.6
2009-03-11 19:00:00,0.501,,426.0,,6.5,5.4,71.0,7.61,10.5
2009-03-11 20:00:00,0.54,,427.0,,6.5,5.6,72.0,7.62,10.3
2009-03-11 21:00:00,0.573,,428.0,,6.7,5.8,72.0,7.64,10.2
2009-03-11 22:00:00,0.601,,427.0,,6.6,5.2,73.0,7.65,10.2
2009-03-11 23:00:00,0.622,,427.0,,6.5,5.4,74.0,7.68,10.1
2009-04-11 00:00:00,0.633,,428.0,,6.7,5.1,74.0,7.69,10.1
2009-04-11 01:00:00,0.643,,430.0,,6.4,5.0,75.0,7.71,9.9
2009-04-11 02:00:00,0.651,,431.0,,6.5,5.1,75.0,7.71,9.8
2009-04-11 03:00:00,0.652,,431.0,,6.3,5.5,75.0,7.72,9.6
2009-04-11 04:00:00,0.651,,431.0,,6.4,5.1,76.0,7.72,9.5
2009-04-11 05:00:00,0.648,,434.0,,6.4,4.4,76.0,7.73,9.4
2009-04-11 06:00:00,0.64,,436.0,,6.1,4.9,77.0,7.72,9.3
2009-04-11 07:00:00,0.63,,435.0,,5.8,4.5,77.0,7.74,9.2
2009-04-11 08:00:00,0.614,,430.0,,5.7,4.5,77.0,7.72,9.2
2009-04-11 09:00:00,0.597,,428.0,,5.3,4.7,77.0,7.74,9.3
2009-04-11 10:00:00,0.58,,429.0,,5.5,5.0,78.0,7.72,9.3
2009-04-11 11:00:00,0.562,,430.0,,5.0,5.0,79.0,7.73,9.7
2009-04-11 12:00:00,0.543,,428.0,,4.7,4.6,79.0,7.75,9.8
2009-04-11 13:00:00,0.526,,426.0,,4.6,4.5,80.0,7.74,9.9
2009-04-11 14:00:00,0.51,,422.0,,4.5,4.6,80.0,7.72,9.8
2009-04-11 15:00:00,0.5,,419.0,,4.6,4.1,80.0,7.72,9.6
2009-04-11 16:00:00,0.492,,415.0,,4.8,4.9,80.0,7.73,9.6
2009-04-11 17:00:00,0.487,,415.0,,4.9,4.6,80.0,7.72,9.4
2009-04-11 18:00:00,0.481,,417.0,,5.0,4.4,79.0,7.7,9.3
2009-04-11 19:00:00,0.473,,421.0,,4.9,4.3,79.0,7.7,9.2
2009-04-11 20:00:00,0.467,,424.0,,4.8,4.9,79.0,7.71,9.2
2009-04-11 21:00:00,0.459,,427.0,,4.9,4.4,79.0,7.7,9.2
2009-04-11 22:00:00,0.45,,429.0,,4.9,4.6,78.0,7.72,9.2
2009-04-11 23:00:00,0.441,,430.0,,4.9,4.5,78.0,7.71,9.2
2009-05-11 00:00:00,0.436,,431.0,,4.7,4.7,78.0,7.71,9.2
2009-05-11 01:00:00,0.43,,433.0,,4.9,4.3,78.0,7.74,9.2
2009-05-11 02:00:00,0.421,,434.0,,5.0,4.3,78.0,7.71,9.2
2009-05-11 03:00:00,0.417,,435.0,,4.6,4.5,77.0,7.72,9.2
2009-05-11 04:00:00,0.414,,435.0,,4.4,4.6,78.0,7.73,9.1
2009-05-11 05:00:00,0.412,,434.0,,4.6,4.3,77.0,7.71,9.1
2009-05-11 06:00:00,0.408,,433.0,,4.2,5.0,77.0,7.72,9.1
2009-05-11 07:00:00,0.406,,431.0,,4.1,4.7,77.0,7.71,9.1
2009-05-11 08:00:00,0.405,,429.0,,4.0,4.4,77.0,7.72,9.1
2009-05-11 09:00:00,0.403,,,,,,,,
2009-05-11 10:00:00,0.398,,,,,,,,
2009-05-11 11:00:00,0.395,,,,,,,,
2009-05-11 12:00:00,0.389,,,,,,,,
2009-05-11 13:00:00,0.387,,,,,,,,
2009-05-11 14:00:00,0.384,,,,,,,,
2009-05-11 15:00:00,0.381,,436.0,,3.9,4.5,79.0,7.72,10.1
2009-05-11 16:00:00,0.384,,437.0,,3.8,4.0,81.0,7.74,9.9
2009-05-11 17:00:00,0.389,,438.0,,3.9,4.0,81.0,7.75,9.8
2009-05-11 18:00:00,0.395,,438.0,,4.0,4.5,80.0,7.73,9.6
2009-05-11 19:00:00,0.402,,438.0,,4.0,4.2,80.0,7.75,9.5
2009-05-11 20:00:00,0.41,,437.0,,4.1,4.1,80.0,7.75,9.5
2009-05-11 21:00:00,0.412,,437.0,,4.0,4.1,80.0,7.75,9.4
2009-05-11 22:00:00,0.411,,437.0,,4.0,4.2,80.0,7.76,9.3
2009-05-11 23:00:00,0.409,,435.0,,4.1,4.2,80.0,7.75,9.3
2009-06-11 00:00:00,0.405,,435.0,,4.2,4.1,80.0,7.75,9.3
2009-06-11 01:00:00,0.402,,434.0,,4.2,3.8,80.0,7.74,9.3
2009-06-11 02:00:00,0.402,,435.0,,4.3,4.5,79.0,7.77,9.3
2009-06-11 03:00:00,0.406,,436.0,,4.3,4.3,79.0,7.76,9.3
2009-06-11 04:00:00,0.411,,438.0,,4.5,4.4,79.0,7.77,9.2
2009-06-11 05:00:00,0.414,,440.0,,4.3,3.9,78.0,7.76,9.2
2009-06-11 06:00:00,0.416,,441.0,,4.2,3.8,78.0,7.76,9.1
2009-06-11 07:00:00,0.414,,442.0,,4.5,4.3,78.0,7.77,9.1
2009-06-11 08:00:00,0.41,,441.0,,4.1,4.6,78.0,7.75,9.0
2009-06-11 09:00:00,0.404,,440.0,,3.9,4.4,79.0,7.75,9.1
2009-06-11 10:00:00,0.399,,440.0,,3.9,3.8,80.0,7.77,9.2
2009-06-11 11:00:00,0.391,,440.0,,3.9,4.6,81.0,7.78,9.3
2009-06-11 12:00:00,0.384,,440.0,,3.9,4.2,81.0,7.76,9.4
2009-06-11 13:00:00,0.378,,441.0,,4.0,4.0,82.0,7.77,9.5
2009-06-11 14:00:00,0.371,,442.0,,3.9,4.0,82.0,7.77,9.6
2009-06-11 15:00:00,0.365,,443.0,,3.7,4.3,82.0,7.77,9.6
2009-06-11 16:00:00,0.361,,444.0,,3.9,4.1,82.0,7.77,9.5
2009-06-11 17:00:00,0.362,,445.0,,4.0,4.2,82.0,7.75,9.6
2009-06-11 18:00:00,0.365,,446.0,,4.0,4.1,82.0,7.76,9.6
2009-06-11 19:00:00,0.366,,446.0,,3.8,3.7,82.0,7.76,9.6
2009-06-11 20:00:00,0.367,,447.0,,3.9,4.1,82.0,7.76,9.5
2009-06-11 21:00:00,0.367,,446.0,,4.0,4.2,81.0,7.77,9.4
2009-06-11 22:00:00,0.368,,445.0,,4.1,4.2,81.0,7.76,9.3
2009-06-11 23:00:00,0.373,,442.0,,4.2,3.7,80.0,7.76,9.3
2009-07-11 00:00:00,0.382,,440.0,,4.5,3.9,80.0,7.73,9.2
2009-07-11 01:00:00,0.389,,438.0,,4.3,4.1,79.0,7.72,9.2
2009-07-11 02:00:00,0.391,,437.0,,4.5,4.2,79.0,7.73,9.1
2009-07-11 03:00:00,0.39,,437.0,,4.7,4.3,78.0,7.74,8.9
2009-07-11 04:00:00,0.39,,439.0,,4.3,3.8,78.0,7.73,8.9
2009-07-11 05:00:00,0.395,,442.0,,4.4,4.0,78.0,7.73,8.7
2009-07-11 06:00:00,0.402,,446.0,,4.5,4.0,77.0,7.74,8.6
2009-07-11 07:00:00,0.411,,448.0,,4.3,4.1,77.0,7.74,8.4
2009-07-11 08:00:00,0.415,,449.0,,4.0,4.1,77.0,7.75,8.3
2009-07-11 09:00:00,0.418,,448.0,,3.9,4.1,78.0,7.77,8.3
